FPA,,,,卡方,FBESFPA_TS,,CFPA,
ALL-AML,,,,,ALL-AML,ALL-AML,,ALL-AML
39,0.771740181,,,,39,0.999994389,,0.88173457
40,0.777212127,,,,40,0.999994389,,0.88173457
41,0.778585724,,,,41,0.999994389,,0.88173457
42,0.778585724,,,,42,0.999994389,,0.88173457
43,0.778585724,,,,43,0.999994389,,0.88173457
44,0.778585724,,,,44,0.999994389,,0.88173457
45,0.785459321,,,,45,0.999994389,,0.88173457
46,0.785459321,,,,46,0.999994389,,0.88173457
47,0.793707918,,,,47,0.999994389,,0.88173457
48,0.793707918,,,,48,0.999994389,,0.88173457
49,0.803331516,,,,49,0.999994389,,0.88173457
50,0.803331516,,,,50,0.999994389,,0.88173457
51,0.803331516,,,,51,0.999994389,,0.88173457
52,0.803331516,,,,52,0.999994389,,0.88173457
53,0.803331516,,,,53,0.999994389,,0.880358167
54,0.803331516,,,,54,0.999994389,,0.880358167
55,0.803331516,,,,55,0.999994389,,0.880358167
56,0.803331516,,,,56,0.999994389,,0.880358167
57,0.793705113,,,,57,0.999994389,,0.880358167
58,0.793705113,,,,58,0.999994389,,0.880358167
59,0.81295371,,,,59,0.999994389,,0.884483167
60,0.819827307,,,,60,0.999994389,,0.884483167
61,0.819827307,,,,61,0.999994389,,0.884483167
62,0.819827307,,,,62,0.999994389,,0.884483167
63,0.819827307,,,,63,0.999994389,,0.884483167
64,0.819827307,,,,64,0.999994389,,0.884483167
65,0.819827307,,,,65,0.999994389,,0.884483167
66,0.819827307,,,,66,0.999994389,,0.884483167
67,0.819827307,,,,67,0.999994389,,0.884483167
68,0.819827307,,,,68,0.999994389,,0.884483167
69,0.815702307,,,,69,0.999994389,,0.884483167
70,0.815702307,,,,70,0.999994389,,0.884483167
71,0.815702307,,,,71,0.999994389,,0.884483167
72,0.814327307,,,,72,0.999994389,,0.884483167
73,0.811575905,,,,73,0.999994389,,0.884483167
74,0.811575905,,,,74,0.999994389,,0.884483167
75,0.811575905,,,,75,0.999994389,,0.884483167
76,0.811575905,,,,76,0.999994389,,0.884483167
77,0.811575905,,,,77,0.999994389,,0.884483167
78,0.811575905,,,,78,0.999994389,,0.884483167
79,0.821200905,,,,79,0.999994389,,0.884483167
80,0.825325905,,,,80,0.999994389,,0.884483167
81,0.825325905,,,,81,0.999994389,,0.884483167
82,0.825325905,,,,82,0.999994389,,0.884483167
83,0.825325905,,,,83,0.999994389,,0.884483167
84,0.825325905,,,,84,0.999994389,,0.884483167
85,0.825325905,,,,85,0.999994389,,0.884483167
86,0.825325905,,,,86,0.999994389,,0.884483167
87,0.825325905,,,,87,0.999994389,,0.884483167
88,0.825325905,,,,88,0.999995792,,0.884483167
89,0.825325905,,,,89,0.999995792,,0.884483167
90,0.825325905,,,,90,0.999995792,,0.884483167
91,0.825325905,,,,91,0.999995792,,0.884483167
92,0.825325905,,,,92,0.999995792,,0.884483167
93,0.825325905,,,,93,0.999995792,,0.884483167
94,0.825325905,,,,94,0.999995792,,0.884483167
95,0.825325905,,,,95,0.999995792,,0.884483167
96,0.825325905,,,,96,0.999995792,,0.884483167
97,0.825325905,,,,97,0.999995792,,0.884483167
98,0.832199502,,,,98,0.999995792,,0.884483167
99,0.832199502,,,,99,0.999995792,,0.884483167
100,0.832199502,,,,100,0.999995792,,0.884483167
101,0.832199502,,,,101,0.999995792,,0.884483167
102,0.832199502,,,,102,0.999995792,,0.884483167
103,0.822574502,,,,103,0.999995792,,0.884483167
104,0.826699502,,,,104,0.999995792,,0.884483167
105,0.826696697,,,,105,0.999995792,,0.884483167
106,0.828070294,,,,106,0.999995792,,0.884483167
107,0.829445294,,,,107,0.999995792,,0.884483167
108,0.825320294,,,,108,0.999995792,,0.884483167
109,0.826695294,,,,109,0.999995792,,0.884483167
110,0.826695294,,,,110,0.999995792,,0.884483167
111,0.833570294,,,,111,0.999995792,,0.884483167
112,0.833570294,,,,112,0.999995792,,0.884483167
113,0.833570294,,,,113,0.999995792,,0.884483167
114,0.833570294,,,,114,0.999995792,,0.884483167
115,0.833570294,,,,115,0.999995792,,0.884483167
116,0.833570294,,,,116,0.999995792,,0.884483167
117,0.833570294,,,,117,0.999995792,,0.884483167
118,0.833570294,,,,118,0.999995792,,0.884483167
119,0.833570294,,,,119,0.999995792,,0.884483167
120,0.833570294,,,,120,0.999995792,,0.884483167
121,0.833570294,,,,121,0.999995792,,0.884483167
122,0.833570294,,,,122,0.999995792,,0.884483167
123,0.833570294,,,,123,0.999995792,,0.884483167
124,0.833570294,,,,124,0.999995792,,0.884483167
125,0.833570294,,,,125,0.999995792,,0.884483167
126,0.833570294,,,,126,0.999995792,,0.884483167
127,0.833570294,,,,127,0.999995792,,0.884483167
128,0.833570294,,,,128,0.999995792,,0.884483167
129,0.841817488,,,,129,0.999995792,,0.884483167
130,0.858316086,,,,130,0.999995792,,0.884483167
131,0.858316086,,,,131,0.999995792,,0.884483167
132,0.85281328,,,,132,0.999995792,,0.884483167
133,0.863811878,,,,133,0.999995792,,0.884483167
134,0.863811878,,,,134,0.999995792,,0.884483167
135,0.859686878,,,,135,0.999995792,,0.884483167
136,0.859686878,,,,136,0.999995792,,0.884483167
137,0.859686878,,,,137,0.999995792,,0.884483167
138,0.859686878,,,,138,0.999995792,,0.884483167
139,0.866559072,,,,139,0.999995792,,0.884483167
140,0.866559072,,,,140,0.999995792,,0.884483167
141,0.866559072,,,,141,0.999995792,,0.884483167
142,0.888556267,,,,142,0.999995792,,0.884483167
143,0.888556267,,,,143,0.999995792,,0.884483167
144,0.888556267,,,,144,0.999995792,,0.884483167
145,0.888556267,,,,145,0.999995792,,0.884483167
146,0.891304864,,,,146,0.999995792,,0.884483167
147,0.885804864,,,,147,0.999995792,,0.884483167
148,0.885804864,,,,148,0.999995792,,0.884483167
149,0.909178461,,,,149,0.999995792,,0.884483167
150,0.909178461,,,,150,0.999995792,,0.884483167
151,0.909178461,,,,151,0.999995792,,0.884483167
152,0.909178461,,,,152,0.999995792,,0.884483167
153,0.909178461,,,,153,0.999995792,,0.884483167
154,0.909178461,,,,154,0.999995792,,0.884483167
155,0.909178461,,,,155,0.999995792,,0.884483167
156,0.909178461,,,,156,0.999995792,,0.884483167
157,0.905053461,,,,157,0.999995792,,0.884483167
158,0.907803461,,,,158,0.999995792,,0.884483167
159,0.907803461,,,,159,0.999995792,,0.884483167
160,0.907803461,,,,160,0.999995792,,0.884483167
161,0.907803461,,,,161,0.999995792,,0.884483167
162,0.907803461,,,,162,0.999995792,,0.884483167
163,0.907803461,,,,163,0.999995792,,0.884483167
164,0.909177058,,,,164,0.999995792,,0.884483167
165,0.909177058,,,,165,0.999995792,,0.884483167
166,0.909177058,,,,166,0.999995792,,0.884483167
167,0.909177058,,,,167,0.999995792,,0.884483167
168,0.905052058,,,,168,0.999995792,,0.884483167
169,0.907802058,,,,169,0.999995792,,0.884483167
170,0.907802058,,,,170,0.999995792,,0.884483167
171,0.907802058,,,,171,0.999995792,,0.884483167
172,0.907802058,,,,172,0.999995792,,0.884483167
173,0.907802058,,,,173,0.999995792,,0.884483167
174,0.907802058,,,,174,0.999995792,,0.884483167
175,0.902300656,,,,175,0.999995792,,0.884483167
176,0.902300656,,,,176,0.999995792,,0.884483167
177,0.902300656,,,,177,0.999995792,,0.884483167
178,0.902300656,,,,178,0.999995792,,0.884483167
179,0.902300656,,,,179,0.999995792,,0.884483167
180,0.902300656,,,,180,0.999995792,,0.884483167
181,0.902300656,,,,181,0.999995792,,0.884483167
182,0.90642285,,,,182,0.999995792,,0.884483167
183,0.91054785,,,,183,0.999995792,,0.884483167
184,0.91054785,,,,184,0.999995792,,0.884483167
185,0.91054785,,,,185,0.999995792,,0.884483167
186,0.91054785,,,,186,0.999995792,,0.884483167
187,0.913296448,,,,187,0.999995792,,0.884483167
